#	src		tele	l	b	xplane	yplane	v1	v2	vx1	vx2	wco		nh2/1e21	wco_dame %
======================================================================================================================
0	3c105f.dat	b5us	187.6	-33.6	-99	-99	7.38	11.05	-99	-99	1.3640065329	0.692915318713	-99.0	0
1	3c123f.dat	b5us	170.6	-11.7	75	147	1.98	6.4	245	255	13.150966996	6.68069123397	12.13	-14.87
2	3c131f.dat	b5us	171.4	-7.8	69	178	3.83	8.65	245	260	5.0987347119	2.59015723365	3.01	-38.19
3	3c133f.dat	b5us	177.7	-9.9	18	161	5.65	8.84	248	254	2.221903615	1.12872703642	5.13	+68.19
4	3c154f.dat	b2us	185.6	4.0	0	273	-5.67	0.07	240	253	8.4307733531	4.28283286337	2.77	-66.51
5	3c167f.dat	b2us	207.3	1.2	-99	-99	15.57	20.25	-99	-99	3.5139344897	1.78507872077	-99.0	0
6	3c207f.dat	b2us	213.0	30.1	-99	-99	3.63	7.16	-99	-99	0.4354350801	0.221201020691	-99.0	0
7	3c353f.dat	b5us	21.1	19.9	-99	-99	-2.3	1.17	-99	-99	4.1682201356	2.11745582888	-99.0	0
8	3c410f.dat	b5us	69.2	-3.8	886	210	4.86	7.06	245	263	1.3745383286	0.698265470929	1.74	+20.83
9	3c4543f.dat	b5us	86.0	-38.1	-99	-99	-10.67	-7.27	-99	-99	4.4342464642	2.25259720381	-99.0	0
10	3c75f.dat	b5us	170.3	-44.9	-99	-99	-11.56	-9.03	-99	-99	1.6257024712	0.82585685537	-99.0	0
11	4c1367f.dat	b2us	43.5	9.2	1092	313	2.33	9.02	245	255	14.3315544507	7.28042966096	8.97	-37.10
12	4c2212f.dat	b2us	188.1	0.0	-88	-88	-4.11	-1.17	-88	-88	2.2237669083	1.12967358942	-88.0	10
13	g196602f.dat	b2us	196.6	0.2	-99	-99	0.98	5.05	-99	-99	0.7085243699	0.359930379909	-99.0	0
14	g197011f.dat	b2us	197.0	1.1	-99	-99	1.05	9.28	-99	-99	6.8280145801	3.46863140669	-99.0	0
15	p042820f.dat	b5us	176.8	-18.6	-88	-88	9.41	12.03	-88	-88	1.1414719644	0.579867757915	-88.0	0
16	t052624f.dat	b2us	181.4	-5.2	0	199	4.25	9.81	245	257	10.1918262508	5.17744773541	4.31	0
17	t062910f.dat	b2us	201.5	0.5	-88	-88	-0.84	8.5	-88	-88	41.7464032242	21.2071728379	-88.0	-58.16
