round patches, NSIDE = 2048, resolution = 1.7', beam = 3.5', dbeam = offset = 3.5/60./2., fukui_cf  = 2.10e26, fk_fact_err = 0.0 #unknown
#  src		nhi_f	er	nh	er	nhi   	er 	er	WNM	CNM	fk/hl	pl/hl	OH    Nhi_thin
		[1e20]	[1e20]	[1e20]	[1e20]	[1e20]	%	[1e20]	[1e20]	[1e20]			      [1e20]
=======================================================================================================================
0  3C33-1	4.5596	0.0513	3.193	0.846	2.81	0.0	0.12	0.86	1.95	1.62	1.14	0	2.7894
1  3C234	1.8714	0.0203	1.371	0.38	1.61	0.0	0.04	1.61	0.0	1.16	0.85	0	1.6383
2  3C236	1.4514	0.0259	1.0472	0.2704	1.21	0.0	0.04	1.21	0.0	1.2	0.87	0	1.1817
3  3C228.0	5.2626	0.0431	3.8554	1.0681	2.61	0.0	0.04	2.24	0.37	2.02	1.48	0	2.6652
4  3C33-2	4.4883	0.0524	3.1431	0.8328	2.92	0.0	0.15	1.02	1.9	1.54	1.08	0	2.8762
5  3C267.0	3.324	0.0664	2.4351	0.6761	2.33	0.0	0.03	2.33	0.0	1.43	1.05	0	2.3236
6  DW0742+10	3.5635	0.0399	2.4954	0.6611	2.43	0.0	0.04	2.43	0.0	1.47	1.03	0	2.4383
7  4C19.44	7.7064	0.1472	5.6457	1.5671	2.65	0.0	0.04	2.65	0.0	2.91	2.13	0	2.6324
8  3C293	2.6814	0.0667	1.9644	0.5462	1.28	0.0	0.05	1.28	0.0	2.09	1.53	0	1.2956
9  4C20.33	2.7578	0.037	2.0204	0.5601	2.69	0.0	0.05	2.16	0.53	1.03	0.75	0	2.6865
10  P1117+14	2.9097	0.0329	2.1316	0.5908	1.57	0.0	0.02	1.57	0.0	1.85	1.36	0	1.5417
11  3C264.0	3.0001	0.059	2.1979	0.6102	1.73	0.0	0.03	1.73	0.0	1.73	1.27	0	1.7598
12  3C208.1	6.2923	0.0469	4.6098	1.277	2.76	0.0	0.05	2.76	0.0	2.28	1.67	0	2.7851
13  3C208.0	6.8912	0.0516	5.0485	1.3986	2.99	0.0	0.04	2.99	0.0	2.3	1.69	0	3.0476
14  4C32.44	1.4287	0.0291	1.0467	0.2906	1.05	0.0	0.03	0.91	0.14	1.36	1.0	0	1.128
15  3C263.1	2.2008	0.0492	1.6123	0.4479	1.68	0.0	0.05	1.68	0.0	1.31	0.96	0	1.6732
16  3C272.1	3.2465	0.1631	2.3784	0.6694	2.39	0.0	0.03	2.03	0.36	1.36	1.0	0	2.426
17  4C07.32	4.7769	0.0548	3.4996	0.9699	2.11	0.0	0.03	1.79	0.32	2.26	1.66	0	2.0761
18  3C286	1.503	0.0405	1.1011	0.3063	2.04	0.0	0.09	2.04	0.0	0.74	0.54	0	2.1072
19  3C190.0	4.6194	0.0417	3.3842	0.9377	2.82	0.0	0.04	2.82	0.0	1.64	1.2	0	2.941
20  4C12.50	3.9471	0.0951	2.8917	0.8481	2.37	0.0	0.11	2.01	0.36	1.67	1.22	0	2.5519
21  3C298	2.4443	0.044	1.7907	0.4969	2.39	0.0	0.38	2.33	0.06	1.02	0.75	0	2.5657
22  3C345	2.4872	0.0475	1.8222	0.5338	1.01	0.0	0.13	1.01	0.0	2.46	1.8	0	1.0397
