src		Tex  		noh   noh_quad_fit
(1667)        	 K   		e14   e14
====================================================
3C105		27.54		2.538	2.468
3C109		28.37		0.633	0.606
3C123		37.72		15.621	15.106
3C131		28.19		7.075	6.524
3C132		43.43		0.563	0.504
3C133		36.0		12.68	11.981
3C154		37.82		6.968	6.184
3C167		38.07		2.448	2.269
3C18		38.92		1.64	1.708
3C207		35.09		1.849	1.743
3C409		37.89		2.985	2.726
3C410		40.26		5.707	5.46
3C454.3		41.63		0.522	0.526
3C75		38.86		1.764	1.679
4C13.67		39.57		9.033	7.991
4C22.12		35.65		2.622	2.488
G196.6+0.2	36.16		1.847	1.84
G197.0+1.1	35.65		7.263	7.368
P0428+20	27.99		1.19	1.15
P0531+19	10.73		0.085	0.087
T0526+24	39.09		6.582	6.793
T0556+19	36.48		5.828	4.83
T0629+10	37.28		49.866	49.927
W51c3		75.72		422.37	420.234
