src		l		b		l-indx  b-index	Tbg408		l-indx	    b-index  Tbg408	Tbg408(hpx)
=======================================================================================================================
3C105		187.632553101	-33.6090278625	563.0	169.0	27.3999996185	563         169      27.4000	20.578
3C109		181.827896118	-27.7768802643	545.0	187.0	32.5		545         187      32.5000	24.661
3C123		170.581436157	-11.6607217789	512.0	235.0	48.1000022888	512         235      48.1000	47.162
3C131		171.436828613	-7.79669475555	514.0	247.0	40.5		514         247      40.5000	39.204
3C132		178.859802246	-12.5218839645	537.0	232.0	33.0		537         232      33.0000	29.321
3C133		177.725738525	-9.91240787506	533.0	240.0	38.7000007629	533         240      38.7000	31.352
3C154		185.593215942	4.00309324265	557.0	282.0	41.2999992371	557         282      41.3000	32.869
3C167		207.311920166	1.15291512012	622.0	273.0	45.2000007629	622         273      45.2000	46.332
3C18		118.621551514	-52.7265319824	356.0	112.0	28.8000011444	356         112      28.8000	22.552
3C207		212.968109131	30.1389598846	639.0	360.0	19.6000003815	639         360      19.6000	16.060
3C409		63.3982963562	-6.12196683884	190.0	252.0	77.7000045776	190         252      77.7000	81.408
3C410		69.2087936401	-3.76806855202	208.0	259.0	76.5999984741	208         259      76.6000	59.865
3C454.3		86.1108169556	-38.1830825806	258.0	155.0	34.4000015259	258         155      34.4000	25.400
3C75		170.255615234	-44.9111557007	511.0	135.0	32.4000015259	511         135      32.4000	21.446
4C13.67		43.4968528748	9.15430736542	130.0	297.0	73.8000030518	130         297      73.8000	73.630
4C22.12		188.052368164	0.0470512732863	564.0	270.0	43.5		564         270      43.5000	45.515
G196.6+0.2	196.640350342	0.167616575956	590.0	271.0	46.9000015259 	590         271      46.9000	46.795
G197.0+1.1	196.982910156	1.10338318348	591.0	273.0	45.4000015259	591         273      45.4000	44.124
P0428+20	176.808151245	-18.5568180084	530.0	214.0	33.4000015259	530         214      33.4000	34.902
P0531+19	186.763473511	-7.10847568512	560.0	249.0	47.4000015259	560         249      47.4000	41.041
T0526+24	181.355117798	-5.19333171844	544.0	254.0	42.4000015259	544         254      42.4000	44.486
T0556+19	190.089324951	-2.16651010513	570.0	264.0	47.1000022888	570         264      47.1000	49.891
T0629+10	201.531524658	0.5078779459	605.0	272.0	38.4000015259 	605         272      38.4000	40.278
