#      ng1   ng2         src1        l             b           zro1   tau1           cen1        wid1           tx1       er1            tx2         er2
============================================================================================================================================================
       0        2       2 3C105      187.633     -33.6090       0    0.0158120      8.13840     0.965816      4.17341     0.249290      3.68853     0.172211
       1        2       2 3C105      187.633     -33.6090       0   0.00624688      10.2305      1.02970      5.95356     0.631158      5.52763     0.439315

       2        2       2 3C109      181.828     -27.7769       0   0.00219404      9.16221     0.997289      13.6053      1.83045      13.8313      1.25063
       3        2       2 3C109      181.828     -27.7769       0   0.00352055      10.4406     0.954352      9.14547      1.16686      8.72299     0.787675

       4        3       3 3C123      170.581     -11.6607       0    0.0191465      3.64944      1.18983      18.0419     0.894994      18.0986     0.628060
       5        3       3 3C123      170.581     -11.6607       0    0.0430802      4.43242     0.526628      15.7113     0.610703      16.1537     0.374728
       6        3       3 3C123      170.581     -11.6607       0    0.0337756      5.36520     0.916915      18.3091     0.555242      16.5638     0.306100

       7        4       4 3C131      171.437     -7.79669       0   0.00649567      4.54881     0.562468      8.18882     0.764777      5.60985     0.521682
       8        4       4 3C131      171.437     -7.79669       0   0.00739680      6.80372      2.96908      7.08596     0.431070      7.39497     0.296719
       9        4       4 3C131      171.437     -7.79669       0    0.0166821      6.59488     0.417935      3.18437     0.420523      3.93055     0.291528
      10        4       4 3C131      171.437     -7.79669       0    0.0521163      7.22777     0.551638      4.36635     0.123649      4.56967    0.0799797

      11        1       1 3C132      178.860     -12.5219       0   0.00325712      7.82447     0.890025      9.62780      1.03947      13.3186     0.634578

      12        2       2 3C133      177.726     -9.91241       0     0.100867      7.66386     0.527870      3.32021     0.110069      2.49699     0.618873
      13        2       2 3C133      177.726     -9.91241       0    0.0148290      7.93701      1.22933      4.78308      1.70685      4.88799      1.11071

      14        3       3 3C154      185.593      4.00309       0    0.0265674     -2.32469     0.743274      3.16551     0.285472      3.20678     0.176616
      15        3       3 3C154      185.593      4.00309       0   0.00996968     -1.38686     0.830314      4.93522     0.715895      4.21291     0.369014
      16        3       3 3C154      185.593      4.00309       0   0.00375136      2.22769      1.12472      5.17022      1.61244      2.91271     0.994548

      17        1       1 3C167      207.312      1.15292       0    0.0108681      18.5301      1.26933      4.34200      1.11703      4.23237     0.747181

      18        2       2 3C18      118.622     -52.7265       0   0.00296770     -8.52772      2.50096      7.18852     0.994808      6.83254     0.428495
      19        2       2 3C18      118.622     -52.7265       0   0.00559787     -7.81862     0.676583      2.74523      1.01746      1.00000      0.00000

      20        1       1 3C207      212.968      30.1390       0    0.0152021      4.54723     0.773036      3.20432     0.208506      2.90569     0.102334

      21        2       2 3C409      63.3983     -6.12197       0   0.00615087      14.6298      1.85992      7.95694     0.951020    0.0303189      25.2620
      22        2       2 3C409      63.3983     -6.12197       0    0.0199191      15.3968     0.892821      2.35318     0.427871     0.200000      0.00000

      23        3       3 3C410      69.2088     -3.76807       0    0.0120793      6.24822      1.03394      6.95899     0.484887      4.41418     0.212838
      24        3       3 3C410      69.2088     -3.76807       0   0.00431505      10.7030     0.698200      7.88882      1.65738      4.46929     0.777362
      25        3       3 3C410      69.2088     -3.76807       0   0.00534158      11.6684     0.840971      5.13025      1.22064      3.71770     0.570627

      26        1       1 3C454.3      86.1108     -38.1831       0   0.00230923     -9.67108      1.63481      4.09248      1.07103      5.90861     0.610933

      27        1       1 3C75      170.256     -44.9112       0   0.00715191     -10.3598      1.32500      3.58434     0.545759      3.71543     0.301801

      28        1       1 4C13.67      43.4969      9.15431       0    0.0474083      4.88014      1.29719      7.43941     0.448295      7.41192     0.309420

      29        2       2 4C22.12      188.052    0.0470513       0   0.00585788     -2.83887     0.790811      5.34373      1.17556      5.26237     0.639574
